Date,Open,High,Low,Close,Volume
2000-10-30,93.1530,94.9403,92.9637,94.5618,10154100
2000-10-31,94.8877,96.6856,94.2464,96.1914,7752400
2000-11-01,95.7183,96.3912,95.0244,95.8655,6753600
2000-11-02,96.3281,96.8328,95.8971,96.0232,11395100
2000-11-03,96.5384,96.7277,95.8025,96.0758,5187100
2000-11-06,96.3281,97.0956,96.2440,96.7487,4042500
2000-11-07,96.3176,96.8959,95.9286,96.7277,5231300
2000-11-08,96.9380,96.9380,94.5828,94.5828,6123300
2000-11-09,94.2043,95.0244,92.3539,94.2253,10635300
2000-11-10,93.5315,93.8468,91.8702,91.9333,8569500
2000-11-13,91.2605,92.1751,89.5046,91.2184,17285300
2000-11-14,92.5011,93.9520,92.1857,93.6156,7668900
2000-11-15,93.5735,94.2779,92.6903,93.9100,8837700
2000-11-16,93.2476,94.1202,92.3960,92.4380,6684100
2000-11-17,92.3960,93.5315,91.3446,91.9438,6551100
2000-11-20,91.3446,91.7651,90.3773,90.6296,5458500
2000-11-21,90.7558,91.6390,89.8411,91.0922,7684300
2000-11-22,90.3983,90.7558,88.9054,88.9158,5736900
2000-11-24,89.9147,90.8188,89.9147,90.7347,3411600
2000-11-27,91.8282,91.9754,91.0502,91.5338,5992000
2000-11-28,90.9240,91.9123,89.9252,89.9567,5336100
2000-11-29,90.4194,91.4497,89.6728,89.7885,6914100
2000-11-30,89.1577,89.8306,87.3072,89.0105,11201600
2000-12-01,89.6203,90.2091,88.1484,88.9684,7587200
2000-12-04,88.7371,90.0829,88.4848,89.7254,6996600
2000-12-05,90.7558,93.0268,90.4403,92.6693,8883400
2000-12-06,92.7113,93.0898,90.8609,91.1868,12888000
2000-12-07,90.7558,91.4287,89.9357,89.9357,6529100
2000-12-08,92.2277,93.8468,90.0829,90.1460,10276300
2000-12-11,92.4380,93.9100,91.9964,93.2791,6405600
2000-12-12,92.9847,93.4053,92.4380,92.8796,5022900
2000-12-13,93.6997,93.8048,91.5338,91.6074,6070500
2000-12-14,91.4287,91.8492,90.1880,90.4403,7678400
2000-12-15,89.8594,89.8594,88.1297,88.4039,9065300
2000-12-18,89.1422,90.0914,88.9418,89.5851,7235400
2000-12-19,89.4164,91.1039,87.7605,87.7605,9616600
2000-12-20,86.8219,87.0328,85.1132,85.2187,9994300
2000-12-21,85.0500,86.9800,84.7335,85.8094,14331500
2000-12-22,87.0750,88.4988,86.9695,88.3828,10182900
2000-12-26,88.3195,89.3320,87.9398,89.3320,4665300
2000-12-27,88.9312,90.2706,88.5937,89.9859,4854100
2000-12-28,89.6484,90.3656,89.5007,90.2601,8358700
2000-12-29,90.4922,90.6398,88.5515,88.5515,8774600
2001-01-02,89.1000,89.2054,86.1047,86.9484,8737500
2001-01-03,86.6109,91.8000,86.1679,91.1250,19431600
2001-01-04,91.0828,91.4414,89.7750,90.1441,9219000
2001-01-05,90.0914,90.1969,87.2015,87.2015,12911400
2001-01-08,87.6656,87.8765,86.1890,87.8765,6625300
2001-01-09,88.4566,88.7625,87.3597,87.6445,5702400
2001-01-10,87.0750,89.1844,86.9484,89.1844,8746100
2001-01-11,88.4882,90.1019,88.4882,89.2687,7245100
2001-01-12,89.5640,90.2601,88.6148,89.1000,7244000
2001-01-16,89.1000,89.9015,88.7730,89.6695,8542200
2001-01-17,91.0195,91.1566,89.5324,90.0808,7851400
2001-01-18,90.0703,91.5996,89.7328,90.9773,8107000
2001-01-19,91.9265,91.9265,90.3656,90.4605,7782500
2001-01-22,90.6187,91.6523,90.1547,91.0617,7050900
2001-01-23,90.7664,92.2429,90.5554,91.7789,8463100
2001-01-24,91.9687,92.6859,91.6945,92.0531,6199900
2001-01-25,91.9687,92.6437,91.5679,91.8210,10818300
2001-01-26,91.2304,91.8844,90.7558,91.7156,7136800
2001-01-29,91.4625,92.4075,91.3747,92.2050,6705900
2001-01-30,92.0025,93.0960,91.6582,93.0150,7069100
